ensembl.gene.id	X0610	X0687	X1809	X1812	X1938	X1941
TSPAN6	625	731	643	858	801	423
TNMD	3	2	11	10	8	10
DPM1	1237	1128	796	1224	1113	1117
SCYL3	514	458	435	493	492	556
C1orf112	190	156	189	254	184	183
FGR	1109	9422	1678	2963	976	1812
CFH	5723	1981	2761	2504	2525	3356
FUCA2	1156	1371	965	1697	975	1697
GCLC	1097	1240	994	1014	923	941
NFYA	815	1169	596	865	759	921
STPG1	215	216	208	203	219	173
NIPAL3	805	725	802	900	1088	954
LAS1L	1277	980	1149	1237	1442	1356
ENPP4	555	750	478	541	425	560
SEMA3F	597	1173	336	858	379	512
CFTR	699	991	1057	1030	1467	591
CYP51A1	67	185	54	87	47	78
KRIT1	362	251	322	323	339	406
RAD52	517	457	626	586	517	457
BAD	295	211	373	458	295	211
LAP3	5446	6545	3338	4486	4501	7212
CD99	5600	3767	6208	7014	4897	4816
HS3ST1	290	633	247	335	236	233
AOC1	1502	2605	1504	2944	2776	1066
WNT16	47	12	69	28	33	35
HECW1	10	3	14	18	24	10
MAD1L1	62	40	87	74	97	74
LASP1	7704	9374	5795	7522	7268	7316
SNX11	879	845	844	1133	929	1192
TMEM176A	3969	2813	3709	5465	4512	5199
M6PR	2484	2906	2158	3033	2484	2906
KLHL13	308	182	184	155	134	116
CYP26B1	111	162	137	102	90	87
ICA1	500	551	560	771	570	771
DBNDD1	180	100	186	184	188	162
ALS2	507	730	524	615	436	565
CASP10	930	1353	752	958	923	1182
CFLAR	3992	9911	5447	6619	4425	5864
TFPI	1160	1859	838	974	736	944
NDUFAF7	696	472	589	638	591	682
RBM5	3594	3223	4934	4193	4609	4482
SLC7A2	383	570	289	370	171	209
ARF5	1822	1481	1820	2268	2517	2390
SARM1	253	262	300	271	294	320
POLDIP2	2168	2105	1812	2597	2200	2307
PLXND1	3484	5974	3985	5988	3505	5389
AK2	3614	3913	3124	4413	4146	4139
CD38	2103	797	1510	1004	1622	1770
FKBP4	2720	2909	1651	2485	2720	2909
KDM1A	2279	1962	2044	2080	2028	2137
RBM6	5971	4071	8497	6729	6365	5780
CAMKK1	366	663	330	567	315	384
RECQL	794	1248	756	1047	794	1248
VPS50	771	738	647	608	620	799
HSPB6	1221	455	1301	652	600	590
ARHGAP33	969	271	988	641	1015	884
NDUFAB1	1321	1124	1090	1803	1553	1449
PDK4	1066	1365	3717	1402	951	616
SLC22A16	2	10	4	12	14	12
ZMYND10	35	13	37	28	26	36
ABCB5	7	5	14	2	24	2
ARX	3	2	3	3	4	3
SLC25A13	711	1296	642	965	640	653
ST7	358	361	352	311	289	296
CDC27	1715	2134	1380	1724	1300	1541
SLC4A1	6	1	1	7	6	2
CALCR	0	0	3	0	4	2
HCCS	619	662	524	679	622	663
DVL2	1232	918	1342	1289	1293	1306
PRSS22	3	114	18	155	15	17
UPF1	3690	3952	4018	4565	4314	4563
SKAP2	2403	3645	1858	2320	1868	2176
SLC25A5	7541	6146	6702	10396	9362	7834
MCUB	1822	1215	1374	1415	1718	1842
HOXA11	129	49	114	115	124	112
POLR2J	1439	1270	1859	2270	2172	2150
DHX33	587	927	603	833	703	846
MEOX1	368	326	237	307	416	502
THSD7A	188	245	168	261	178	261
LIG3	538	663	475	685	442	551
ACSM3	186	152	281	233	275	207
REXO5	117	63	137	105	140	106
CIAPIN1	674	607	789	1210	1019	1050
SPPL2B	2626	1393	3651	3192	3939	3407
FAM214B	638	1789	579	1030	696	840
COPZ2	223	188	355	494	281	272
PRKAR2B	1129	1043	823	509	710	938
MSL3	2497	2230	2314	2758	2627	3542
CREBBP	2940	3195	2977	2468	2505	2695
TSPOAP1	1157	482	1566	852	1416	1379
MPO	8	13	38	67	23	51
PON1	3	1	2	3	4	0
GCFC2	537	404	404	386	377	503
WDR54	309	220	389	428	489	481
CROT	541	547	521	621	448	447
ABCB4	244	94	309	245	378	449
KMT2E	3494	4046	2518	2367	2407	2614
RHBDD2	975	1349	908	1386	1077	1020
IBTK	1524	2513	1209	1588	1124	1418
ZNF195	891	892	697	842	823	836
MYCBP2	2648	1805	2546	2262	2354	3050
FBXL3	1733	1709	1489	1364	1291	1502
ITGAL	4888	2496	4032	3355	5290	6882
PDK2	478	322	489	342	568	436
ITGA3	1452	2909	1519	2234	2131	1568
ZFX	1070	1185	902	913	1219	1387
LAMP2	2939	5937	2667	3880	2326	2832
ITGA2B	26	18	50	22	44	35
ASB4	1	0	1	0	3	3
GDE1	1474	1792	1327	1961	1479	1262
REX1BD	1393	856	1542	1801	2070	1958
CRLF1	75	56	101	45	54	38
OSBPL7	994	866	1321	1560	1580	1283
TMEM98	682	562	1016	1000	1101	575
YBX2	231	189	225	346	1062	365
KRT33A	0	0	0	1	0	0
MAP3K14	1356	789	1105	962	1374	1604
ABCC8	54	14	66	26	47	17
CACNG3	3	0	0	2	0	4
TMEM132A	359	1879	295	1497	431	649
AP2B1	4221	5856	4060	5450	3534	4334
TAC1	329	240	134	160	146	147
CX3CL1	498	299	763	287	695	478
SPATA20	1731	1259	1724	1953	2858	2532
CACNA1G	49	27	30	27	51	35
TNFRSF12A	323	1514	89	748	164	535
DLX6	5	1	4	0	2	4
MAP3K9	228	196	278	250	247	222
RALA	1595	2041	1123	1702	1133	1293
KDM7A	1075	2049	1357	1458	1360	1544
ETV1	264	138	173	123	183	123
AGK	1163	962	1002	1071	1062	1341
ALDH3B1	403	872	614	1030	403	872
TTC22	449	585	491	653	710	342
PHTF2	1284	1279	1332	1392	1258	1514
CCL26	4	26	3	9	5	6
FARP2	977	1147	1099	1130	1005	815
USH1C	561	999	686	1100	1137	381
GGCT	529	572	463	725	473	562
DBF4	741	490	462	558	521	603
TBXA2R	123	101	134	118	81	104
IFRD1	1009	2909	881	1280	903	851
LGALS14	4	0	0	1	1	1
COX10	656	580	478	596	623	586
GTF2IRD1	404	470	460	503	383	278
PAF1	1726	1691	1665	1922	2047	1843
VPS41	1368	1570	1315	1547	1325	1568
ARHGAP44	508	322	603	454	862	284
ELAC2	1987	1767	1641	2255	2152	2422
SCIN	272	404	325	512	335	512
ARSD	553	769	767	659	1364	808
PNPLA4	204	173	234	263	366	345
ADIPOR2	1793	2741	1652	2413	1793	2741
CDKL3	19	17	31	26	17	23
UPP2	1	2	2	3	2	2
PRSS21	47	29	23	41	35	37
MARK4	831	729	747	796	763	705
PROM1	960	1573	1573	1355	1549	651
CEACAM21	309	161	243	296	319	436
PAFAH1B1	3545	5021	3232	3755	3172	3735
NOS2	569	1685	126	611	610	710
DNAH9	10	17	9	20	10	13
KIAA0100	2071	2884	2121	3115	2460	2705
SLC13A2	13	4	21	23	23	3
GAS7	1735	3146	1879	2420	1523	1977
TRAPPC6A	367	117	476	435	749	567
MATK	504	226	168	138	542	610
CEACAM7	11111	14285	7152	11796	28624	4905
CD79B	2660	402	3178	2008	4829	3103
SCN4A	35	11	54	41	66	53
ST7L	269	258	219	277	229	213
TKTL1	27	26	25	73	25	73
PAX6	5	1	6	4	2	6
RPUSD1	670	490	600	765	867	760
RHBDF1	715	771	728	832	710	662
LUC7L	2619	1639	2661	2490	3438	3215
CACNA2D2	160	80	147	130	198	155
BAIAP3	178	115	349	293	298	214
PIGQ	743	593	805	899	902	739
CRAMP1	831	607	954	795	828	914
TEAD3	1179	1363	1051	1296	819	768
SELE	503	2030	458	593	150	716
DNAJC11	1020	1133	928	1183	936	1158
FMO3	27	23	20	38	37	77
MYLIP	1223	1286	1867	1510	1113	1214
NOX1	213	620	163	559	189	236
E2F2	706	339	562	731	631	520
PSMB1	3191	3497	2496	3552	2506	3552
SYN1	97	193	64	84	46	38
JARID2	851	1585	927	1124	1056	1230
CDKL5	146	238	179	227	151	197
CAMK1G	28	73	18	12	22	25
CDK11A	564	451	755	755	805	745
NADK	3483	6554	3743	4545	4495	4312
TFAP2B	0	0	1	0	3	1
TFAP2D	0	0	0	0	1	0
DLEC1	21	59	76	66	87	80
CYTH3	705	797	795	766	805	766
ADAM22	205	108	265	179	301	195
SYPL1	4284	3040	2779	2699	3450	3010
CYB561	866	1351	744	1157	950	944
SPAG9	1914	4229	2484	2698	1985	1974
AASS	666	502	789	492	600	662
PLEKHG6	406	432	398	494	406	432
SS18L2	717	438	526	662	785	709
MPND	306	231	357	422	611	472
MGST1	1216	1678	1223	2123	1216	1678
CRY1	587	651	372	596	587	651
