"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP1",4331.18824926999,6.29697364972362,0.210494823982047,29.9150997188448,1.25208930179769e-196,1.90017072440817e-192
"IL1A",8545.92291230531,9.41426259679355,0.323327433544032,29.1168073602745,2.19967331314731e-186,1.66911211001618e-182
"IL20RB",2224.71736834127,6.66647109850486,0.26720059582479,24.9493122495738,2.17239264452244e-137,1.09894102577575e-133
"C3",11927.9410302808,4.50827029444411,0.181376617066543,24.8558516933312,2.23534208591006e-136,8.48088787394278e-133
"OSM",2013.71693709612,5.82718139386736,0.256849285337825,22.6871621861944,5.99851831400905e-114,1.82067027866803e-110
"IL1B",11846.049968685,9.07705240422784,0.408996224550224,22.1934870284192,3.96986317955886e-109,1.00411072688309e-105
"MMP3",2336.75211850039,5.37206483681525,0.258628811063329,20.7713317581614,7.86472695740303e-96,1.70507280436498e-92
"APOL2",10424.9350737595,3.72152978713604,0.194819310884502,19.102468693888,2.40826502917363e-81,4.56847876034238e-78
"FFAR3",1843.56863087778,6.85946399936923,0.389895250641456,17.5930945249629,2.78258669787266e-69,4.69205952521284e-66
"SAA2",713.59055949258,4.46258257830365,0.262383879992489,17.0078382042044,7.1840087877725e-65,1.09024517363235e-61
"OGG1",638.334818805063,-4.06951097210822,0.262168847431929,-15.5224810726791,2.44414874523008e-54,3.37203648705561e-51
"DNASE1",779.19677362743,-4.30787334544806,0.279288602817309,-15.4244509156214,1.12104541107525e-53,1.41774876320651e-50
"ASS1",2453.71555840029,4.1682602424452,0.291451898494928,14.301709009172,2.1350133726166e-46,2.49238176483304e-43
"IL6R",1874.23293320886,4.11617496022459,0.316805545949981,12.9927490627783,1.34507280313768e-38,1.45805891860125e-35
"CLDN2",271.248521803788,5.08602830375211,0.39918415400322,12.741057611498,3.49622873552414e-37,3.53725115268762e-34
"FOSL1",329.17575290682,3.38162625994888,0.274709782139457,12.3098137736944,8.02080443952999e-35,7.60773301089419e-32
"CSF3",769.744580068872,4.80713086661815,0.400358239632034,12.0070736424367,3.26184221857483e-33,2.91186573582892e-30
"TRPV1",1131.63869546807,2.70686042026139,0.228385798300223,11.8521398458546,2.09764941830245e-32,1.76855153178656e-29
"ACTC1",656.790965548404,2.73981067395851,0.239114839601363,11.4581373474191,2.14069087353911e-30,1.70984866825419e-27
"AICDA",358.995692985111,-3.18446375620209,0.284686620170539,-11.1858567652195,4.78263657970139e-29,3.62906463667741e-26
"BCL7A",1229.70477296065,-2.30987659448518,0.207064084369647,-11.1553705777465,6.74113602011986e-29,4.87159429720662e-26
"TFR2",2201.29011256181,5.44500664802462,0.497170528098326,10.9519899919485,6.50036040655052e-28,4.48406679680958e-25
"CXCR2",2356.0591586021,5.57766274058304,0.513230303915874,10.8677579987508,1.64185895966355e-27,1.08334137268931e-24
"IRAG2",3280.0096343029,-2.25463169627546,0.208656919446272,-10.8054489746074,3.24366278533496e-27,2.05107610126014e-24
"AFF2",269.406112186775,-3.6688835517229,0.347116198220463,-10.5696120507539,4.12196211995635e-26,2.5021958852983e-23
"PRCP",2013.31269463325,1.99043625970788,0.194346087800341,10.2417099424853,1.28937120430898e-24,7.52596053715116e-22
"MMP12",1590.43918115516,2.54714668988525,0.251413197176591,10.1313165676667,4.01210510785606e-24,2.25510026358606e-21
"SPOCD1",214.03892820922,3.63790150698573,0.359366408041433,10.1230983908944,4.36378430186139e-24,2.36517109160888e-21
"CASP5",383.805128419357,2.96194716961574,0.294008341340775,10.0743644078542,7.17230083407522e-24,3.75333922268708e-21
